Region,Females 0 to 4,Females 5 to 9,Females 10 to 19,Females 20 to 29,Females 30 to 39,Females 40 to 49,Females 50 to 59,Females 60 to 69,Females 70 plus,Males 0 to 4,Males 5 to 9,Males 10 to 19,Males 20 to 29,Males 30 to 39,Males 40 to 49,Males 50 to 59,Males 60 to 69,Males 70 plus
East,185778,193725,339945,362907,405148,420672,427716,355865,484812,194939,203311,359195,384071,392027,410439,419502,335476,393220
East Midlands,137039,143311,267375,311725,295717,317640,336422,278734,360864,143671,149860,280502,326785,287689,309142,329022,270192,297536
London,309167,290334,471822,715852,807678,610424,517699,349240,409890,324963,304470,495874,709328,853984,625787,502008,322877,317994
North East,73229,77609,145378,181473,166450,170779,197323,165171,207618,77904,81680,152745,190586,160322,162461,188455,156557,164555
North West,216777,223299,407859,487499,466898,478988,510849,412657,538410,228096,234522,427913,504409,461561,464875,496013,399264,427804
Northern Ireland,61808,64569,115347,123021,128414,129520,130569,98233,124362,64617,67542,122106,126455,122757,123188,126219,95389,95604
Scotland,142649,152269,286026,378496,362880,376369,417136,337536,417451,149988,158426,299304,378816,348527,355202,394509,317849,316822
South East,266638,285066,515066,540763,588266,632047,638524,512458,708318,280415,300180,546342,571753,564647,613017,626716,486126,563538
South West,151287,159415,301132,333062,327235,360551,400248,352737,491057,159207,167853,314321,361425,322953,348599,384647,332554,398225
Wales,85145,91544,172404,203223,184583,198999,223059,195844,257737,89497,95999,182399,218076,182987,190720,213326,186516,208160
West Midlands,178556,183143,338613,388237,370497,379318,390171,320303,436184,188125,193198,355182,408983,366061,374404,383029,307628,351066
Yorkshire and the Humber,162532,168825,313384,376882,346745,355770,374068,308522,406225,170791,176983,325286,394267,341782,351577,368861,298677,320046
